"Serie","cvegeo","Entidad_federativa","Periodo","tam_loc_sexo|Nacional","tam_loc_sexo|Urbana","tam_loc_sexo|Rural","tam_loc_sexo|Hombres","tam_loc_sexo|Mujeres",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	00,"Estados_Unidos_Mexicanos","2024","646,533","554,492","92,041","303,961","342,572",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	01,"Aguascalientes","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	02,"Baja_California","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	03,"Baja_California_Sur","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	04,"Campeche","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	05,"Coahuila_de_Zaragoza","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	06,"Colima","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	07,"Chiapas","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	08,"Chihuahua","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	09,"Ciudad_de_México","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	10,"Durango","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	11,"Guanajuato","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	12,"Guerrero","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	13,"Hidalgo","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	14,"Jalisco","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	15,"México","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	16,"Michoacán_de_Ocampo","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	17,"Morelos","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_sobrepeso_u_obesidad",	18,"Nayarit","2024","ND","ND","ND","ND","ND",
